State,YEAR,smoking,AREA,AGE_ADJUSTED_RATE
New York,2019,12.7,New York,28.5
North Carolina,2019,18.5,North Carolina,37.8
North Dakota,2019,17.0,North Dakota,33.3
Ohio,2019,20.8,Ohio,41.0
Oklahoma,2019,18.9,Oklahoma,46.5
Oregon,2019,14.5,Oregon,31.2
Pennsylvania,2019,17.3,Pennsylvania,35.7
Rhode Island,2019,13.3,Rhode Island,36.4
South Carolina,2019,17.5,South Carolina,37.8
South Dakota,2019,18.3,South Dakota,37.3
Tennessee,2019,19.9,Tennessee,45.6
Texas,2019,14.7,Texas,29.7
Utah,2019,7.9,Utah,15.8
Vermont,2019,15.1,Vermont,32.4
Virginia,2019,14.0,Virginia,33.8
Washington,2019,12.6,Washington,31.1
West Virginia,2019,23.8,West Virginia,48.3
Wisconsin,2019,15.4,Wisconsin,34.6
Wyoming,2019,18.4,Wyoming,29.4
